age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Landscaped Gardens","Club House,Sports Facility","3,341 sq ft",,4,4 BHK Apartment ,6,Koregaon Park,Resale,Freehold,60000000,"₹ 17,958/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,085 sq ft",,2,2 BHK Apartment ,6,Koregaon Park,Resale,Freehold,6300000,"₹ 5,806/ sq ft ","Ready to move,Semi-Furnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens",815 sq ft,,2,2 BHK Apartment ,2,Kalyani Nagar,Resale,Co-Operative Society,7000000,"₹ 8,588/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom","Sports Facility,Landscaped Gardens","3,200 sq ft",,4,4 BHK Apartment ,7,Koregaon Park,Resale,Freehold,32500000,"₹ 10,156/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"2,700 sq ft",,4,4 BHK Apartment ,2,Koregaon Park,Resale,Freehold,28000000,"₹ 10,370/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Club House,Sports Facility,Landscaped Gardens","3,340 sq ft",,3,3 BHK Apartment ,8,Koregaon Park,Resale,Co-Operative Society,31500000,"₹ 9,431/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"2,250 sq ft",,3,3 BHK Apartment ,9,Viman Nagar,Resale,Freehold,27000000,"₹ 12,000/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens",Sports Facility,"1,350 sq ft",,2,2 BHK Apartment ,4,Mundhwa,Resale,Co-Operative Society,9500000,"₹ 7,037/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Children's play area,Sports Facility","1,500 sq ft",,3,3 BHK Apartment ,7,Viman Nagar,Resale,Freehold,16000000,"₹ 10,666/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","2,615 sq ft",,3,3 BHK Apartment ,3,Koregaon Park,Resale,Freehold,26200000,"₹ 10,019/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","5,375 sq ft",,4,4 BHK Apartment ,6,Kharadi,Resale,Freehold,40000000,"₹ 7,441/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","3,341 sq ft",,4,4 BHK Apartment ,3,Koregaon Park,Resale,Freehold,52500000,"₹ 15,713/ sq ft ","Ready to move,Unfurnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","3,300 sq ft",,5,5 BHK Apartment ,6,Koregaon Park,Resale,Freehold,60000000,"₹ 18,181/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","2,400 sq ft",,4,4 BHK Apartment ,1,Kalyani Nagar,Resale,Freehold,30000000,"₹ 12,500/ sq ft ","Ready to move,Unfurnished"
0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,945 sq ft",,3,3 BHK Apartment ,4,Koregaon Park,Resale,Freehold,36000000,"₹ 18,508/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",805 sq ft,,2,2 BHK Apartment ,1,Kharadi,Resale,Freehold,4500000,"₹ 5,590/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,630 sq ft",,3,3 BHK Apartment ,7,Kharadi,Resale,Freehold,10000000,"₹ 6,134/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Sports Facility,"1,400 sq ft",,2,2 BHK Apartment ,6,Yerawada,Resale,Co-Operative Society,9700000,"₹ 6,928/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens",905 sq ft,,2,2 BHK Apartment ,7,Vishrantwadi,Resale,Co-Operative Society,7400000,"₹ 8,176/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",900 sq ft,,2,2 BHK Apartment ,5,Koregaon Park,Resale,Freehold,7500000,"₹ 8,333/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,736 sq ft",,3,3 BHK Apartment ,3,Wadgaon Sheri,Resale,Co-Operative Society,15300000,"₹ 8,813/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,24 X 7 Security,Club House,Gymnasium,Swimming Pool,Jogging Track","Power Backup,Children's play area,Sports Facility,Landscaped Gardens","2,000 sq ft",,3,3 BHK Villa ,Gr,Koregaon Park,Resale,Freehold,25000000,"₹ 12,500/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,24 X 7 Security,Gymnasium,Jogging Track","Power Backup,Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","2,000 sq ft",,3,3 BHK Villa ,Gr,Koregaon Park,Resale,Freehold,26000000,"₹ 13,000/ sq ft ","Ready to move,Unfurnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Sports Facility,Landscaped Gardens","1,680 sq ft",,3,3 BHK Apartment ,4,Viman Nagar,Resale,Freehold,11500000,"₹ 6,845/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,850 sq ft",,4,4 BHK Apartment ,7,Koregaon Park,Resale,Freehold,24500000,"₹ 13,243/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,850 sq ft",,3,3 BHK Apartment ,8,Viman Nagar,Resale,Co-Operative Society,25000000,"₹ 13,513/ sq ft ","Ready to move,Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility,"1,000 sq ft",,2,2 BHK Apartment ,5,Wadgaon Sheri,Resale,Freehold,7000000,"₹ 7,000/ sq ft ","Ready to move,Unfurnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Sports Facility,610 sq ft,,1,1 BHK Apartment ,2,Yerawada,Resale,Co-Operative Society,5400000,"₹ 8,852/ sq ft ","Ready to move,Semi-Furnished"
1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens","3,100 sq ft",,3,3 BHK Apartment ,3,Viman Nagar,Resale,Freehold,38500000,"₹ 12,419/ sq ft ","Ready to move,Semi-Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Landscaped Gardens",Sports Facility,"1,450 sq ft",,2,2 BHK Apartment ,2,Mundhwa,Resale,Freehold,9715000,"₹ 6,700/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,200 sq ft",,2,2 BHK Apartment ,4,Kharadi,Resale,Freehold,6300000,"₹ 5,250/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","1,200 sq ft",,3,3 BHK Apartment ,6,Viman Nagar,Resale,Freehold,15000000,"₹ 12,500/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","3,800 sq ft",,3,3 BHK Apartment ,Gr,Koregaon Park,Resale,Freehold,45000000,"₹ 11,842/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"2,350 sq ft",,4,4 BHK Apartment ,5,Koregaon Park,Resale,Freehold,27500000,"₹ 11,702/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","5,000 sq ft",,5,5 BHK Apartment ,2,Kharadi,Resale,Freehold,59000000,"₹ 11,800/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Sports Facility,"1,620 sq ft",,3,3 BHK Apartment ,1,Yerawada,Resale,Freehold,12500000,"₹ 7,716/ sq ft ","Ready to move,Unfurnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",550 sq ft,,1,1 BHK Apartment ,1,Koregaon Park,Resale,Co-Operative Society,5000000,"₹ 9,090/ sq ft ","Ready to move,Unfurnished"
3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","2,961 sq ft",,4,4 BHK Apartment ,8,Kharadi,Resale,Freehold,29000000,"₹ 9,793/ sq ft ","Ready to move,Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track,Staff Quarter","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,010 sq ft",,2,2 BHK Apartment ,3,Shastri Nagar,Resale,Freehold,7600000,"₹ 7,524/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom","Children's play area,Sports Facility,Landscaped Gardens","2,400 sq ft",,4,4 BHK Apartment ,5,Koregaon Park,Resale,Freehold,28200000,"₹ 11,750/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Children's play area,Sports Facility","1,400 sq ft",,3,3 BHK Apartment ,2,Kharadi,Resale,Freehold,10500000,"₹ 7,500/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",Sports Facility,"1,000 sq ft",,2,2 BHK Apartment ,1,Koregaon Park,Resale,Co-Operative Society,6200000,"₹ 6,200/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","2,800 sq ft",,3,3 BHK Apartment ,3,Kalyani Nagar,Resale,Freehold,34000000,"₹ 12,142/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens",585 sq ft,,1,1 BHK Apartment ,2,Viman Nagar,Resale,Freehold,5500000,"₹ 9,401/ sq ft ","Ready to move,Semi-Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,394 sq ft",,3,3 BHK Apartment ,1,Kharadi,Resale,Freehold,8780000,"₹ 6,298/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,12500000,"₹ 11,363/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track,Intercom","Children's play area,Club House,Sports Facility,Landscaped Gardens",900 sq ft,,2,2 BHK Apartment ,3,Viman Nagar,Resale,Freehold,5000000,"₹ 5,555/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens",900 sq ft,,2,2 BHK Apartment ,8,Koregaon Park,Resale,Freehold,7600000,"₹ 8,444/ sq ft ","Ready to move,Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","3,500 sq ft",,4,4 BHK Apartment ,8,Koregaon Park,Resale,Freehold,40000000,"₹ 11,428/ sq ft ","Ready to move,Furnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Gymnasium,Jogging Track,Intercom,Landscaped Gardens","Club House,Swimming Pool,Sports Facility","1,800 sq ft",,3,3 BHK Apartment ,Gr,Koregaon Park,Resale,Co-Operative Society,18000000,"₹ 10,000/ sq ft ","Ready to move,Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Apartment ,2,Kalyani Nagar,Resale,Freehold,26000000,"₹ 14,444/ sq ft ","Ready to move,Furnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,050 sq ft",,2,2 BHK Apartment ,7,Koregaon Park,Resale,Co-Operative Society,10000000,"₹ 9,523/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","3,350 sq ft",,4,4 BHK Apartment ,5,Koregaon Park,Resale,Freehold,53000000,"₹ 15,820/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","3,350 sq ft",,4,4 BHK Apartment ,5,Koregaon Park,Resale,Freehold,53000000,"₹ 15,820/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",Sports Facility,"1,225 sq ft",,2,2 BHK Apartment ,7,Koregaon Park,Resale,Co-Operative Society,6000000,"₹ 4,897/ sq ft ","Ready to move,Unfurnished"
21 - 22 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Jogging Track,Maintenance Staff","Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,451 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Co-Operative Society,13500000,"₹ 9,303/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,100 sq ft",,2,2 BHK Apartment ,6,Kalyani Nagar,Resale,Freehold,9600000,"₹ 8,727/ sq ft ","Ready to move,Semi-Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"2,600 sq ft",,4,4 BHK Apartment ,1,Koregaon Park,Resale,Freehold,26000000,"₹ 10,000/ sq ft ","Ready to move,Semi-Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens",Sports Facility,813 sq ft,,2,2 BHK Apartment ,3,Viman Nagar,Resale,Freehold,6600000,"₹ 8,118/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Intercom,Staff Quarter,Landscaped Gardens",Sports Facility,"2,845 sq ft",,3,3 BHK Apartment ,1,Viman Nagar,Resale,Freehold,22700000,"₹ 7,978/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"1,650 sq ft",,3,3 BHK Apartment ,5,Viman Nagar,Resale,Freehold,21000000,"₹ 12,727/ sq ft ","Ready to move,Unfurnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Staff Quarter,Multipurpose Room,Landscaped Gardens",Children's play area,"4,800 sq ft",,4,4 BHK Apartment ,5,Mundhwa,Resale,Freehold,49500000,"₹ 10,312/ sq ft ","Ready to move,Furnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility,"3,915 sq ft",,4,4 BHK Apartment ,6,Koregaon Park,Resale,Freehold,60000000,"₹ 15,325/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens","Children's play area,Sports Facility","1,537 sq ft",,3,3 BHK Apartment ,8,Kharadi,Resale,Co-Operative Society,9500000,"₹ 6,180/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","2,250 sq ft",,3,3 BHK Apartment ,3,Koregaon Park,Resale,Freehold,24500000,"₹ 10,888/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","2,120 sq ft",,3,3 BHK Apartment ,1,Kharadi,Resale,Freehold,16000000,"₹ 7,547/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,24 X 7 Security,Gymnasium,Swimming Pool,Jogging Track","Power Backup,Children's play area,Club House,Sports Facility,Landscaped Gardens","2,100 sq ft",,4,4 BHK Apartment ,4,Koregaon Park,Resale,Co-Operative Society,22500000,"₹ 10,714/ sq ft ","Ready to move,Unfurnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Club House,Sports Facility,Landscaped Gardens","1,010 sq ft",,2,2 BHK Apartment ,2,Viman Nagar,Resale,Freehold,8000000,"₹ 7,920/ sq ft ","Ready to move,Semi-Furnished"
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","5,876 sq ft",,4,4 BHK Apartment ,8,Kalyani Nagar,Resale,Freehold,58000000,"₹ 9,870/ sq ft ","Ready to move,Unfurnished"
2 - 3 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","3,000 sq ft",,5,5 BHK Apartment ,Gr,Koregaon Park,Resale,Freehold,45000000,"₹ 15,000/ sq ft ","Ready to move,Furnished"
16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Rain Water Harvesting","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens","1,050 sq ft",,2,2 BHK Apartment ,7,Koregaon Park,Resale,Freehold,10000000,"₹ 9,523/ sq ft ","Ready to move,Semi-Furnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Apartment ,5,Koregaon Park,Resale,Freehold,33000000,"₹ 18,333/ sq ft ","Ready to move,Unfurnished"
11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track","Children's play area,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Apartment ,9,Koregaon Park,New,Freehold,13500000,"₹ 7,500/ sq ft ",Ready to move
6 - 7 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens","4,200 sq ft",,4,4 BHK Apartment ,1,Kharadi,Resale,Freehold,40320000,"₹ 9,600/ sq ft ","Ready to move,Semi-Furnished"
