,age,amenitiesavailable,amenitiesnot,area,balconies,bathroom,bhk,floor,locality,neworold,ownership,price,pricepersquare,status
21516,1 - 2 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Wardrobe,Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection,BED","Sports Facility,AC,TV,Wifi","1,090 sq ft",2,2,2 BHK Apartment ,"2, ",Kharadi,New,Freehold,7100000,"₹ 6,513/ sq ft ",Ready to move
21518,0 - 1 year,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,Wardrobe,Sofa","Sports Facility,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection,BED","1,315 sq ft",1,2,2 BHK Apartment ,"4, ",Kharadi,New,Freehold,10200000,"₹ 7,756/ sq ft ",Ready to move
21520,11 - 12 years,"Lift Available,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",520 sq ft,,1,1 BHK Apartment ,2,Koregaon Park,Resale,Freehold,5200000,"₹ 10,000/ sq ft ","Ready to move,Unfurnished"
21521,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,12000000,"₹ 10,909/ sq ft ","Ready to move,Unfurnished"
21522,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,12000000,"₹ 10,909/ sq ft ","Ready to move,Unfurnished"
21523,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,800 sq ft",,3,3 BHK Apartment ,3,Kharadi,Resale,Freehold,17000000,"₹ 9,444/ sq ft ","Ready to move,Unfurnished"
21524,11 - 12 years,"Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,650 sq ft",,3,3 BHK Apartment ,2,Koregaon Park,Resale,Freehold,17500000,"₹ 10,606/ sq ft ","Ready to move,Furnished"
21525,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,650 sq ft",,3,3 BHK Apartment ,2,Koregaon Park,Resale,Freehold,17500000,"₹ 10,606/ sq ft ","Ready to move,Furnished"
21526,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,12000000,"₹ 10,909/ sq ft ","Ready to move,Unfurnished"
21532,11 - 12 years,"Lift Available,Jogging Track","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,750 sq ft",,4,4 BHK Apartment ,3,Koregaon Park,Resale,Freehold,30000000,"₹ 17,142/ sq ft ","Ready to move,Unfurnished"
21533,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens","1,850 sq ft",,4,4 BHK Apartment ,4,Viman Nagar,Resale,Freehold,22000000,"₹ 11,891/ sq ft ","Ready to move,Unfurnished"
21557,11 - 12 years,"24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,9000000,"₹ 8,182/ sq ft ","Ready to move,Unfurnished"
21559,11 - 12 years,"Lift Available,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,400 sq ft",,3,3 BHK Apartment ,1,Koregaon Park,Resale,Freehold,11000000,"₹ 7,857/ sq ft ","Ready to move,Furnished"
21560,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Intercom,ATM,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Wifi,Microwave,Dining Table,Gas connection,BED","Swimming Pool,Sports Facility,Landscaped Gardens","1,440 sq ft",3,3,3 BHK Apartment ,"6, ",Koregaon Park,Resale,Freehold,19000000,"₹ 13,194/ sq ft ","Ready to move,Furnished"
21561,8 - 9 years,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Jogging Track,Intercom,ATM,Wardrobe,Sofa","Lift Available,Swimming Pool,Sports Facility,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection,BED","1,950 sq ft",2,4,4 BHK Apartment ,"2, ",Koregaon Park,Resale,Freehold,21500000,"₹ 11,025/ sq ft ","Ready to move,Unfurnished"
21565,5 - 6 years,TV,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",600 sq ft,1,1,1 BHK Apartment ,"2, ",Narhe,Resale,Freehold,2800000,"₹ 4,666/ sq ft ","Ready to move,Semi-Furnished"
21566,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens",Jogging Track,845 sq ft,1,2,2 BHK Apartment ,"6, ",Wagholi,Resale,Freehold,4200000,"₹ 4,970/ sq ft ","Ready to move,Unfurnished"
21570,11 - 12 years,"Lift Available,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,450 sq ft",,3,4 BHK Apartment ,3,Koregaon Park,Resale,Freehold,40000000,"₹ 16,326/ sq ft ","Ready to move,Unfurnished"
21579,11 - 12 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",600 sq ft,,1,1 BHK Apartment ,3,Viman Nagar,Resale,Freehold,3500000,"₹ 5,833/ sq ft ","Ready to move,Unfurnished"
21580,6 - 7 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",671 sq ft,,1,1 BHK Apartment ,2,Wagholi,Resale,Freehold,2850000,"₹ 4,247/ sq ft ","Ready to move,Unfurnished"
21581,6 - 7 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",671 sq ft,,1,1 BHK Apartment ,2,Wagholi,Resale,Freehold,2850000,"₹ 4,247/ sq ft ","Ready to move,Unfurnished"
21582,11 - 12 years,"Power Backup,Vaastu Compliant,Jogging Track","Lift Available,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,538 sq ft",,2,2 BHK Villa ,Gr,Kharadi,Resale,Freehold,6000000,"₹ 3,901/ sq ft ","Ready to move,Semi-Furnished"
21583,16 - 17 years,"Car Parking,24 X 7 Security,Vaastu Compliant,Rain Water Harvesting","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,400 sq ft",,3,3 BHK Apartment ,Gr,Koregaon Park,Resale,Freehold,13000000,"₹ 9,285/ sq ft ","Ready to move,Semi-Furnished"
21584,11 - 12 years,"Car Parking,24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","4,000 sq ft",,5,5 BHK Apartment ,2,Koregaon Park,Resale,Freehold,42000000,"₹ 10,500/ sq ft ","Ready to move,Furnished"
21587,11 - 12 years,"Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,215 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,12000000,"₹ 9,876/ sq ft ","Ready to move,Unfurnished"
21588,11 - 12 years,"Power Backup,Vaastu Compliant,Jogging Track","Lift Available,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,400 sq ft",,4,4 BHK Villa ,Gr,Wagholi,Resale,Freehold,4500000,"₹ 1,875/ sq ft ","Ready to move,Unfurnished"
21589,11 - 12 years,"24 X 7 Security,Club House,Jogging Track","Lift Available,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,600 sq ft",,4,4 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,17500000,"₹ 10,937/ sq ft ","Ready to move,Semi-Furnished"
21591,11 - 12 years,"Lift Available,Car Parking,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,300 sq ft",,3,3 BHK Apartment ,3,Koregaon Park,Resale,Freehold,9500000,"₹ 7,307/ sq ft ","Ready to move,Unfurnished"
21592,11 - 12 years,"Lift Available,Car Parking,24 X 7 Security","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,350 sq ft",,3,3 BHK Apartment ,2,Sangamvadi,Resale,Freehold,25000000,"₹ 10,638/ sq ft ","Ready to move,Unfurnished"
21593,11 - 12 years,"24 X 7 Security,Club House,Jogging Track","Lift Available,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,600 sq ft",,4,4 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,17500000,"₹ 10,937/ sq ft ","Ready to move,Semi-Furnished"
21594,16 - 17 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens","Club House,Sports Facility","3,200 sq ft",,3,4 BHK Apartment ,2,Koregaon Park,Resale,Freehold,50000000,"₹ 15,625/ sq ft ","Ready to move,Unfurnished"
21600,11 - 12 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,100 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,5000000,"₹ 4,545/ sq ft ","Ready to move,Unfurnished"
21601,16 - 17 years,"Lift Available,Power Backup,24 X 7 Security,Vaastu Compliant","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",500 sq ft,,1,1 BHK Apartment ,1,Koregaon Park,Resale,Freehold,6000000,"₹ 12,000/ sq ft ","Ready to move,Unfurnished"
21602,6 - 7 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,000 sq ft",,2,2 BHK Apartment ,2,Wagholi,Resale,Freehold,4300000,"₹ 4,300/ sq ft ","Ready to move,Furnished"
21603,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens",800 sq ft,,2,2 BHK Apartment ,5,Kharadi,Resale,Freehold,4500000,"₹ 5,625/ sq ft ","Ready to move,Unfurnished"
21604,16 - 17 years,"Lift Available,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",930 sq ft,,2,2 BHK Apartment ,2,Viman Nagar,Resale,Freehold,6500000,"₹ 6,989/ sq ft ","Ready to move,Semi-Furnished"
21605,6 - 7 years,"Lift Available,Power Backup,24 X 7 Security,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,075 sq ft",,2,2 BHK Apartment ,2,Kharadi,Resale,Freehold,3800000,"₹ 3,535/ sq ft ","Ready to move,Unfurnished"
21606,11 - 12 years,"Car Parking,24 X 7 Security,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",830 sq ft,,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,6000000,"₹ 7,229/ sq ft ","Ready to move,Furnished"
21607,0 - 1 year,"Car Parking,Power Backup,24 X 7 Security","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",625 sq ft,,1,1 BHK Apartment ,"1, ",Kharadi,Resale,Freehold,3900000,"₹ 6,240/ sq ft ","Ready to move,Unfurnished"
21608,11 - 12 years,"Lift Available,Car Parking,24 X 7 Security,Children's play area,Club House,Jogging Track,Intercom,Landscaped Gardens","Power Backup,Gymnasium,Swimming Pool,Sports Facility",700 sq ft,,2,2 BHK Apartment ,2,Koregaon Park,Resale,Freehold,6100000,"₹ 8,714/ sq ft ","Ready to move,Furnished"
21609,11 - 12 years,"24 X 7 Security,Club House,Jogging Track","Lift Available,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,600 sq ft",,4,4 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,17500000,"₹ 10,938/ sq ft ","Ready to move,Semi-Furnished"
21610,0 - 1 year,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",610 sq ft,,1,1 BHK Apartment ,"3, ",Kharadi,Resale,Freehold,3100000,"₹ 5,081/ sq ft ","Ready to move,Unfurnished"
21611,0 - 1 year,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",500 sq ft,,1,1 BHK Apartment ,"2, ",Kharadi,Resale,Freehold,3000000,"₹ 6,000/ sq ft ","Ready to move,Unfurnished"
21612,0 - 1 year,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens",621 sq ft,,1,1 BHK Apartment ,"2, ",Kharadi,Resale,Freehold,3500000,"₹ 5,636/ sq ft ","Ready to move,Unfurnished"
21613,11 - 12 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",750 sq ft,,2,2 BHK Apartment ,3,Viman Nagar,Resale,Freehold,4800000,"₹ 6,400/ sq ft ","Ready to move,Unfurnished"
21614,6 - 7 years,"Lift Available,24 X 7 Security,Vaastu Compliant,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,210 sq ft",,2,2 BHK Apartment ,1,Viman Nagar,Resale,Freehold,7000000,"₹ 5,785/ sq ft ","Ready to move,Unfurnished"
21663,7 - 8 years,"Car Parking,Power Backup,24 X 7 Security,Wardrobe,BED","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,270 sq ft",4,2,2 BHK Apartment ,"3, ",Kondhwa,Resale,Freehold,5200000,"₹ 4,094/ sq ft ","Ready to move,Furnished"
21664,1 - 2 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,205 sq ft",1,2,2 BHK Apartment ,"3, ",Kothrud,Resale,Freehold,8900000,"₹ 7,385/ sq ft ","Ready to move,Unfurnished"
21670,7 - 8 years,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Indoor Games,Maintenance Staff,Landscaped Gardens,Wardrobe,BED","Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection","1,021 sq ft",2,2,2 BHK Apartment ,"8, ",Warje,Resale,Co-Operative Society,6200000,"₹ 6,072/ sq ft ","Ready to move,Semi-Furnished"
21671,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,210 sq ft",2,2,2 BHK Apartment ,"2, ",NIBM Annexe,Resale,Freehold,6500000,"₹ 5,371/ sq ft ","Ready to move,Unfurnished"
21673,3 - 4 years,"TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,Wifi","1,375 sq ft",1,2,2 BHK Apartment ,Gr ,Manohar Nagar,Resale,Freehold,4000000,"₹ 2,909/ sq ft ","Ready to move,Semi-Furnished"
21697,10 - 11 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Washing Machine,Dining Table,BED","Jogging Track,Wifi,Gas connection",650 sq ft,1,1,1 BHK Apartment ,"1, ",Dapodi,Resale,Freehold,4500000,"₹ 6,923/ sq ft ","Ready to move,Furnished"
21725,8 - 9 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,AC,Wardrobe,TV,Refrigerator,Sofa,Dining Table,Gas connection,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wifi",720 sq ft,1,2,2 BHK Apartment ,"3, ",Chakan,Resale,Freehold,2300000,"₹ 3,194/ sq ft ","Ready to move,Furnished"
21726,5 - 6 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,AC,TV,Refrigerator,Sofa,BED","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,Wardrobe,Wifi,Dining Table,Gas connection","1,165 sq ft",2,2,3 BHK Apartment ,"10, ",DhanoriLohegaon Road,Resale,Freehold,6000000,"₹ 5,150/ sq ft ","Ready to move,Semi-Furnished"
21727,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Maintenance Staff,Intercom,Staff Quarter,Wardrobe","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED",907 sq ft,2,2,2 BHK Apartment ,"4, ",Pashan Sus Road,Resale,Freehold,6200000,"₹ 6,835/ sq ft ","Ready to move,Semi-Furnished"
21731,10 - 11 years,"Car Parking,Power Backup,24 X 7 Security,Wardrobe,TV,Refrigerator,Sofa,BED","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wifi,Dining Table,Gas connection","1,460 sq ft",2,3,2 BHK Apartment ,"3, ",Bavdhan,Resale,Freehold,13000000,"₹ 8,904/ sq ft ","Ready to move,Semi-Furnished"
21733,10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection",630 sq ft,1,1,1 BHK Apartment ,"1, ",Boat Club Road,Resale,Co-Operative Society,8800000,"₹ 13,968/ sq ft ","Ready to move,Furnished"
21734,10 - 11 years,BED,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection",550 sq ft,1,1,1 BHK Apartment ,"2, ",Dhole Patil Road,Resale,Freehold,5000000,"₹ 9,090/ sq ft ","Ready to move,Semi-Furnished"
21736,4 - 5 years,"Power Backup,24 X 7 Security,Children's play area,Gymnasium,Swimming Pool,Indoor Games,Intercom,Landscaped Gardens,Wardrobe,TV,Refrigerator,Sofa,Dining Table,BED","Lift Available,Club House,Sports Facility,Jogging Track,AC,Wifi,Gas connection","1,313 sq ft",2,3,2 BHK Apartment ,"7, ",Baner,Resale,Freehold,9200000,"₹ 7,006/ sq ft ","Ready to move,Semi-Furnished"
21737,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Cafeteria,Multipurpose Room,Landscaped Gardens,ATM,Wardrobe,BED","Sports Facility,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection",927 sq ft,1,2,2 BHK Apartment ,"5, ",Wagholi,Resale,Co-Operative Society,3600000,"₹ 3,883/ sq ft ","Ready to move,Semi-Furnished"
21740,25 - 26 years,"24 X 7 Security,Hospital,Wardrobe,Refrigerator","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Sofa,Wifi,Dining Table,Gas connection,BED",350 sq ft,,1,1 RK Apartment ,"2, ",Bibwewadi,Resale,Freehold,2500000,"₹ 7,142/ sq ft ","Ready to move,Unfurnished"
21741,0 - 1 year,"Car Parking,Power Backup,24 X 7 Security,AC,Wardrobe,Sofa,Dining Table,BED","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,TV,Refrigerator,Wifi,Gas connection","2,000 sq ft",1,3,3 BHK Independent House ,Gr ,Trimurti Vihar,New,Freehold,4500000,"₹ 2,250/ sq ft ",Ready to move
21752,6 - 7 years,"Car Parking,24 X 7 Security","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","4,000 sq ft",,5,5 BHK Apartment ,Gr,Viman Nagar,Resale,Freehold,45000000,"₹ 11,250/ sq ft ","Ready to move,Furnished"
21753,21 - 22 years,"Lift Available,Car Parking","Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,200 sq ft",,2,2 BHK Apartment ,2,Bund Garden,Resale,Freehold,18000000,"₹ 15,000/ sq ft ","Ready to move,Unfurnished"
21754,21 - 22 years,Car Parking,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,050 sq ft",,4,4 BHK Villa ,Gr,Viman Nagar,Resale,Co-Operative Society,17000000,"₹ 8,292/ sq ft ","Ready to move,Furnished"
21758,2 - 3 years,"Car Parking,24 X 7 Security","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","1,050 sq ft",,2,2 BHK Independent Floor ,3,Koregaon Park,Resale,Co-Operative Society,13000000,"₹ 12,380/ sq ft ","Ready to move,Unfurnished"
21762,3 - 4 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Landscaped Gardens","Children's play area,Sports Facility","7,500 sq ft",,5,5 BHK Apartment ,2,Koregaon Park,Resale,Freehold,170000000,"₹ 22,666/ sq ft ","Ready to move,Unfurnished"
21763,11 - 12 years,"24 X 7 Security,Swimming Pool,Staff Quarter","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Sports Facility,Jogging Track,Landscaped Gardens","2,285 sq ft",,3,3 BHK Apartment ,1,Kalyani Nagar,Resale,Freehold,38000000,"₹ 16,630/ sq ft ","Ready to move,Semi-Furnished"
21764,11 - 12 years,"24 X 7 Security,Club House","Lift Available,Power Backup,Children's play area,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens","2,400 sq ft",,4,4 BHK Villa ,Gr,Koregaon Park,Resale,Freehold,32000000,"₹ 13,333/ sq ft ","Ready to move,Unfurnished"
21769,11 - 12 years,"Power Backup,24 X 7 Security,Jogging Track","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,215 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,12000000,"₹ 9,876/ sq ft ","Ready to move,Unfurnished"
21770,16 - 17 years,"Power Backup,24 X 7 Security,Jogging Track","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,215 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,13500000,"₹ 11,111/ sq ft ","Ready to move,Unfurnished"
21771,16 - 17 years,"24 X 7 Security,Vaastu Compliant,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,280 sq ft",,2,2 BHK Apartment ,3,Koregaon Park,Resale,Freehold,13000000,"₹ 10,156/ sq ft ","Ready to move,Unfurnished"
21772,16 - 17 years,"Lift Available,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,400 sq ft",,3,3 BHK Apartment ,2,Koregaon Park,Resale,Freehold,13000000,"₹ 9,286/ sq ft ","Ready to move,Furnished"
21773,11 - 12 years,"24 X 7 Security,Vaastu Compliant,Jogging Track","Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","2,050 sq ft",,2,2 BHK Villa ,Gr,Viman Nagar,Resale,Freehold,10000000,"₹ 4,878/ sq ft ","Ready to move,Unfurnished"
21774,11 - 12 years,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",550 sq ft,,1,1 BHK Apartment ,2,Yerawada,Resale,Freehold,3600000,"₹ 6,545/ sq ft ","Ready to move,Unfurnished"
21775,11 - 12 years,"Lift Available,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens",825 sq ft,,1,1 BHK Apartment ,4,Yerawada,Resale,Freehold,3700000,"₹ 4,485/ sq ft ","Ready to move,Semi-Furnished"
21776,11 - 12 years,"Lift Available,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens","1,022 sq ft",,2,2 BHK Apartment ,2,Viman Nagar,Resale,Freehold,6500000,"₹ 6,360/ sq ft ","Ready to move,Semi-Furnished"
